"gene_id","ref_id","transcript_id","adj.p","dPSI","time"
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",2.13356433880764e-08,-0.209113854021854,15
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",6.43681762347082e-16,-0.289801857326807,20
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",1.15348630935731e-10,-0.225758942648141,25
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",5.38037410327531e-07,-0.161701451578054,30
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",2.28611064503299e-08,-0.205119521825201,80
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",9.4485604765708e-11,-0.219005065564572,90
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",8.1031367368422e-06,-0.158821392422828,105
"MSTRG.251","Solyc01g005120.3","MSTRG.251.1",6.40492554904436e-11,-0.235218705918351,120
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",2.13356433880764e-08,0.209113854021854,15
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",6.43681762347082e-16,0.289801857326807,20
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",1.15348630935731e-10,0.225758942648141,25
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",5.38037410327531e-07,0.161701451578054,30
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",2.28611064503299e-08,0.205119521825201,80
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",9.4485604765708e-11,0.219005065564571,90
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",8.1031367368422e-06,0.158821392422828,105
"MSTRG.251","Solyc01g005120.3","Solyc01g005120.3.1",6.40492554904436e-11,0.235218705918351,120
"MSTRG.324","Solyc01g005820.4","MSTRG.324.2",0.000680259070593693,0.134167391134674,70
"MSTRG.324","Solyc01g005820.4","MSTRG.324.2",6.79272491200441e-06,0.161431386563967,90
"MSTRG.324","Solyc01g005820.4","MSTRG.324.2",0.000392924592242841,0.134103681469951,105
"MSTRG.324","Solyc01g005820.4","MSTRG.324.2",0.000388511940763468,0.138817060779697,120
"MSTRG.324","Solyc01g005820.4","MSTRG.324.3",3.62375423671638e-06,-0.160956137172393,90
"MSTRG.324","Solyc01g005820.4","MSTRG.324.3",0.00661474513748779,-0.10398098453816,105
"MSTRG.324","Solyc01g005820.4","MSTRG.324.3",0.00296524687467924,-0.108827061568855,120
"MSTRG.388","Solyc01g006500.4","MSTRG.388.1",5.63373520988808e-06,0.197075493705056,70
"MSTRG.388","Solyc01g006500.4","MSTRG.388.1",1.29722090380989e-08,0.244834748088293,90
"MSTRG.388","Solyc01g006500.4","MSTRG.388.1",3.36288121587822e-05,0.172386207606895,105
"MSTRG.388","Solyc01g006500.4","Solyc01g006500.4.1",5.63373520988808e-06,-0.197075493705056,70
"MSTRG.388","Solyc01g006500.4","Solyc01g006500.4.1",1.29722090380989e-08,-0.244834748088293,90
"MSTRG.388","Solyc01g006500.4","Solyc01g006500.4.1",3.36288121587822e-05,-0.172386207606895,105
"MSTRG.389","Solyc01g006510.3","MSTRG.389.1",2.58680424306779e-10,-0.112919738227021,70
"MSTRG.389","Solyc01g006510.3","MSTRG.389.1",1.90945583669481e-09,-0.107796188112867,80
"MSTRG.389","Solyc01g006510.3","MSTRG.389.1",2.08158769857903e-13,-0.123335638430394,90
"MSTRG.389","Solyc01g006510.3","MSTRG.389.1",5.90906041548483e-12,-0.107336560053409,105
"MSTRG.389","Solyc01g006510.3","MSTRG.389.1",2.37259611658148e-13,-0.126667162379033,120
"MSTRG.389","Solyc01g006510.3","Solyc01g006510.3.1",2.58680424306779e-10,0.112919738227021,70
"MSTRG.389","Solyc01g006510.3","Solyc01g006510.3.1",1.90945583669481e-09,0.107796188112868,80
"MSTRG.389","Solyc01g006510.3","Solyc01g006510.3.1",2.08158769857903e-13,0.123335638430394,90
"MSTRG.389","Solyc01g006510.3","Solyc01g006510.3.1",5.90906041548483e-12,0.107336560053409,105
"MSTRG.389","Solyc01g006510.3","Solyc01g006510.3.1",2.37259611658148e-13,0.126667162379033,120
"MSTRG.398","Solyc01g006660.3","MSTRG.398.2",0.000637945644820669,0.406523734808074,70
"MSTRG.398","Solyc01g006660.3","MSTRG.398.2",8.45164207690228e-05,0.36281430171044,80
"MSTRG.398","Solyc01g006660.3","Solyc01g006660.3.1",0.000637945644820669,-0.406523734808074,70
"MSTRG.398","Solyc01g006660.3","Solyc01g006660.3.1",8.45164207690228e-05,-0.36281430171044,80
"MSTRG.426","Solyc01g006970.4","MSTRG.426.1",0.000555934534781323,0.187102183930864,105
"MSTRG.426","Solyc01g006970.4","MSTRG.426.1",0.000112220991939175,0.210118216207722,120
"MSTRG.426","Solyc01g006970.4","Solyc01g006970.4.1",0.000555934534781323,-0.187102183930864,105
"MSTRG.426","Solyc01g006970.4","Solyc01g006970.4.1",0.000112220991939175,-0.210118216207722,120
"MSTRG.441","Solyc01g007110.3","MSTRG.441.2",1.96585537997123e-06,0.11288074294136,70
"MSTRG.441","Solyc01g007110.3","MSTRG.441.2",0.000126595300840406,0.100809211202551,90
"MSTRG.441","Solyc01g007110.3","MSTRG.441.2",3.64549706634104e-08,0.194801040367093,105
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",0.000317807182721946,-0.14689819055057,60
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",2.05710367258013e-05,-0.195188924150681,70
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",0.000444345276189392,-0.161073872704707,90
"MSTRG.441","Solyc01g007110.3","Solyc01g007110.3.1",1.12950471111261e-06,-0.27310022983602,105
"MSTRG.481","Solyc01g007930.4","MSTRG.481.1",0.000213144688251804,0.284713399485046,105
"MSTRG.481","Solyc01g007930.4","MSTRG.481.1",0.000407736159463185,0.312193296805958,120
"MSTRG.481","Solyc01g007930.4","Solyc01g007930.4.1",0.000213144688251804,-0.284713399485045,105
"MSTRG.481","Solyc01g007930.4","Solyc01g007930.4.1",0.000407736159463185,-0.312193296805958,120
"MSTRG.504","Solyc01g008170.3","MSTRG.504.1",1.12925258235074e-05,-0.180519739418186,50
"MSTRG.504","Solyc01g008170.3","MSTRG.504.1",6.55897477323035e-05,-0.164800642847744,60
"MSTRG.504","Solyc01g008170.3","MSTRG.504.1",7.88188643205552e-07,-0.215227327972703,70
"MSTRG.504","Solyc01g008170.3","MSTRG.504.1",4.32243415923777e-05,-0.178372952436576,80
"MSTRG.504","Solyc01g008170.3","MSTRG.504.1",9.79455090560878e-12,-0.298259568194683,90
"MSTRG.504","Solyc01g008170.3","MSTRG.504.1",1.53926504996218e-12,-0.33752358616471,105
"MSTRG.504","Solyc01g008170.3","MSTRG.504.1",1.02051992129784e-11,-0.309808381163268,120
"MSTRG.504","Solyc01g008170.3","MSTRG.504.2",4.32243415923777e-05,0.128580369786082,80
"MSTRG.504","Solyc01g008170.3","MSTRG.504.2",0.000113709066597159,0.116654489850281,105
"MSTRG.504","Solyc01g008170.3","Solyc01g008170.3.1",0.000540422102156822,0.139356808117936,50
"MSTRG.504","Solyc01g008170.3","Solyc01g008170.3.1",0.000188782405893112,0.152728944212969,60
"MSTRG.504","Solyc01g008170.3","Solyc01g008170.3.1",3.62049638773677e-05,0.202572864416735,90
"MSTRG.504","Solyc01g008170.3","Solyc01g008170.3.1",1.68451371761117e-05,0.220869096314429,105
"MSTRG.504","Solyc01g008170.3","Solyc01g008170.3.1",5.22627384703259e-06,0.221335269137121,120
"MSTRG.692","Solyc01g010700.3","MSTRG.692.1",4.250167641726e-06,0.200712295006554,10
"MSTRG.692","Solyc01g010700.3","MSTRG.692.1",0.000408377616593875,0.105244932674115,15
"MSTRG.692","Solyc01g010700.3","Solyc01g010700.3.1",4.250167641726e-06,-0.200712295006555,10
"MSTRG.692","Solyc01g010700.3","Solyc01g010700.3.1",0.000408377616593875,-0.105244932674115,15
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",0.000205576168859878,0.117431665658583,50
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",7.00809866243126e-06,0.135005650110562,60
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",2.83139768963e-07,0.18693668930889,70
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",6.90674337750456e-07,0.176468976683312,80
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",4.33433162398973e-06,0.160544559879199,90
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",6.22364938973075e-08,0.219826656757202,105
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.2",1.12794473716922e-07,0.221709787376077,120
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",0.00179448356270483,-0.119243301395499,30
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",0.00554994212392572,-0.106024226973143,40
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",8.32795678903677e-05,-0.166838997068893,50
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",2.13722360573655e-06,-0.178068020497488,60
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",1.14609331083882e-07,-0.231888646523097,70
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",8.99108800997786e-08,-0.232837225741083,80
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",4.33433162398973e-06,-0.191271691147036,90
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",1.63918179533702e-10,-0.28031212982127,105
"MSTRG.1015","Solyc01g058260.4","MSTRG.1015.3",1.12794473716922e-07,-0.247323114395535,120
"MSTRG.1036","Solyc01g059870.4","MSTRG.1036.3",6.79401019901718e-08,0.1273004598791,105
"MSTRG.1036","Solyc01g059870.4","Solyc01g059870.4.1",1.28959459371537e-08,-0.138257971547676,105
"MSTRG.1036","Solyc01g059870.4","Solyc01g059870.4.1",1.31414699011594e-05,-0.123835802949129,120
"MSTRG.1053","Solyc01g060180.4","MSTRG.1053.1",1.48262494296634e-14,0.120099346383607,80
"MSTRG.1053","Solyc01g060180.4","MSTRG.1053.1",1.4876295361416e-17,0.128525720354586,90
"MSTRG.1053","Solyc01g060180.4","MSTRG.1053.1",1.04744588821397e-15,0.136348967063826,120
"MSTRG.1053","Solyc01g060180.4","Solyc01g060180.4.1",1.48262494296634e-14,-0.120099346383608,80
"MSTRG.1053","Solyc01g060180.4","Solyc01g060180.4.1",1.4876295361416e-17,-0.128525720354586,90
"MSTRG.1053","Solyc01g060180.4","Solyc01g060180.4.1",1.04744588821397e-15,-0.136348967063826,120
"MSTRG.1295","Solyc01g079150.4","MSTRG.1295.2",0.000278378806757591,0.170350758562045,105
"MSTRG.1295","Solyc01g079150.4","MSTRG.1295.2",2.35553909904439e-05,0.204640329982185,120
"MSTRG.1295","Solyc01g079150.4","Solyc01g079150.4.1",0.000278378806757591,-0.170350758562045,105
"MSTRG.1295","Solyc01g079150.4","Solyc01g079150.4.1",2.35553909904439e-05,-0.204640329982185,120
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",0.000317246091158272,0.307436162481894,70
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",0.000312451738555166,0.345270681491071,80
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",2.28707181306744e-05,0.379452975558504,90
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",8.92528108781214e-05,0.352757774364285,105
"MSTRG.1342","Solyc01g079600.4","MSTRG.1342.3",4.2487221232383e-05,0.395771023253666,120
"MSTRG.1342","Solyc01g079600.4","Solyc01g079600.4.1",0.000612537769749625,-0.291302821627755,105
"MSTRG.1349","Solyc01g079680.3","MSTRG.1349.2",0.000507864857777023,0.144364009541804,105
"MSTRG.1349","Solyc01g079680.3","MSTRG.1349.2",0.000664062466171218,0.131061324405324,120
"MSTRG.1363","Solyc01g079840.3","MSTRG.1363.1",2.84718887426821e-06,0.132234015651057,80
"MSTRG.1363","Solyc01g079840.3","MSTRG.1363.1",6.42848345943538e-08,0.143119499499314,105
"MSTRG.1363","Solyc01g079840.3","MSTRG.1363.1",4.04994666496281e-12,0.196021319991557,120
"MSTRG.1363","Solyc01g079840.3","Solyc01g079840.3.1",2.84718887426821e-06,-0.132234015651057,80
"MSTRG.1363","Solyc01g079840.3","Solyc01g079840.3.1",6.42848345943538e-08,-0.143119499499314,105
"MSTRG.1363","Solyc01g079840.3","Solyc01g079840.3.1",4.04994666496281e-12,-0.196021319991557,120
"MSTRG.1368","Solyc01g079870.4","MSTRG.1368.1",0.000683687868280892,-0.167090952097527,80
"MSTRG.1368","Solyc01g079870.4","Solyc01g079870.4.1",0.000311130114323309,0.121516672102123,60
"MSTRG.1368","Solyc01g079870.4","Solyc01g079870.4.1",0.000683687868280892,0.120508721990582,80
"MSTRG.1368","Solyc01g079870.4","Solyc01g079870.4.1",9.75735549303274e-07,0.163249914010038,90
"MSTRG.1368","Solyc01g079870.4","Solyc01g079870.4.1",3.60171418383871e-06,0.164425772950728,105
"MSTRG.1368","Solyc01g079870.4","Solyc01g079870.4.1",5.68990119600444e-08,0.199135253794022,120
"MSTRG.1504","Solyc01g081400.3","MSTRG.1504.1",0.000173295392562084,0.395055253722445,40
"MSTRG.1504","Solyc01g081400.3","MSTRG.1504.1",9.37256554845749e-06,0.386278905689963,50
