gene_id	ref_id
MSTRG.272	Solyc01g005320.2
MSTRG.273	Solyc01g005330.3
MSTRG.274	Solyc01g005340.3
MSTRG.275	Solyc01g005350.4
MSTRG.276	Solyc01g005360.4
MSTRG.277	Solyc01g005370.3
MSTRG.278	Solyc01g005380.3
MSTRG.279	Solyc01g005390.3
MSTRG.280	Solyc01g005400.3
MSTRG.281	Solyc01g005410.4
MSTRG.282	Solyc01g005420.2
MSTRG.283	Solyc01g005430.3
MSTRG.284	Solyc01g005440.4
MSTRG.286	Solyc01g005470.3
MSTRG.287	Solyc01g005480.3
MSTRG.288	Solyc01g005490.3
MSTRG.289	Solyc01g005500.3
MSTRG.290	Solyc01g005520.4
MSTRG.291	Solyc01g005530.3
MSTRG.292	Solyc01g005540.4
MSTRG.293	Solyc01g005550.3
MSTRG.294	Solyc01g005560.3
MSTRG.295	Solyc01g005570.4
MSTRG.296	Solyc01g005580.2
MSTRG.297	Solyc01g005590.2
MSTRG.298	Solyc01g005600.4
MSTRG.299	Solyc01g005610.4
MSTRG.300	Solyc01g005620.3
MSTRG.302	lnc_RNA:Solyc01r000910.1
MSTRG.303	Solyc01g005630.3
MSTRG.304	Solyc01g005640.4
MSTRG.305	Solyc01g005670.3
MSTRG.306	lnc_RNA:Solyc01r000930.1
MSTRG.307	Solyc01g005680.4
MSTRG.309	Solyc01g005690.3
MSTRG.310	Solyc01g005700.3
MSTRG.312	Solyc01g005730.3
MSTRG.313	Solyc01g005740.3
MSTRG.314	Solyc01g005750.1
MSTRG.315	lnc_RNA:Solyc01r000940.1
MSTRG.316	Solyc01g005760.3
MSTRG.318	Solyc01g150100.1
MSTRG.319	Solyc01g005780.1
MSTRG.320	Solyc01g005783.1
MSTRG.321	Solyc01g005787.1
MSTRG.322	Solyc01g005800.3
MSTRG.323	Solyc01g005810.3
MSTRG.324	Solyc01g005820.4
MSTRG.326	Solyc01g005850.2
MSTRG.328	Solyc01g005870.3
MSTRG.329	Solyc01g005880.1
MSTRG.330	Solyc01g005890.1
MSTRG.331	Solyc01g005900.2
MSTRG.332	Solyc01g005910.3
MSTRG.333	Solyc01g005920.3
MSTRG.334	Solyc01g005930.3
MSTRG.335	Solyc01g005950.4
MSTRG.336	Solyc01g005960.3
MSTRG.337	Solyc01g005970.3
MSTRG.339	Solyc01g005980.4
MSTRG.340	Solyc01g005985.1
MSTRG.341	Solyc01g006000.3
MSTRG.342	Solyc01g006010.3
MSTRG.343	Solyc01g006020.4
MSTRG.344	Solyc01g006040.3
MSTRG.345	Solyc01g006050.2
MSTRG.346	Solyc01g006055.1
MSTRG.348	Solyc01g006080.2
MSTRG.349	Solyc01g006090.3
MSTRG.350	Solyc01g006100.4
MSTRG.351	Solyc01g006110.3
MSTRG.352	Solyc01g006120.4
MSTRG.353	Solyc01g006130.4
MSTRG.354	Solyc01g006140.4
MSTRG.355	Solyc01g006150.3
MSTRG.357	Solyc01g006170.4
MSTRG.358	Solyc01g006180.4
MSTRG.359	Solyc01g006190.3
MSTRG.360	lnc_RNA:Solyc01r001010.1
MSTRG.361	Solyc01g006200.3
MSTRG.362	Solyc01g006210.4
MSTRG.363	Solyc01g006220.3
MSTRG.364	Solyc01g006230.3
MSTRG.365	Solyc01g006240.3
MSTRG.366	Solyc01g006250.2
MSTRG.367	Solyc01g006260.4
MSTRG.368	Solyc01g006270.2
MSTRG.369	Solyc01g006280.3
MSTRG.370	Solyc01g006290.4
MSTRG.371	Solyc01g006300.3
MSTRG.372	Solyc01g006310.3
MSTRG.373	Solyc01g006320.4
MSTRG.375	Solyc01g006330.4
MSTRG.376	Solyc01g006340.3
MSTRG.378	Solyc01g006370.3
MSTRG.379	Solyc01g006380.2
MSTRG.380	Solyc01g006390.2
MSTRG.381	Solyc01g006400.4
MSTRG.383	Solyc01g006430.3
MSTRG.384	Solyc01g006450.4
MSTRG.385	Solyc01g006480.3
MSTRG.387	Solyc01g006490.4
MSTRG.388	Solyc01g006500.4
MSTRG.389	Solyc01g006510.3
MSTRG.390	Solyc01g006520.3
MSTRG.391	Solyc01g006540.4
MSTRG.392	lnc_RNA:Solyc01r001030.1
MSTRG.395	Solyc01g006585.1
MSTRG.396	Solyc01g006630.3
MSTRG.398	Solyc01g006660.3
MSTRG.400	lnc_RNA:Solyc01r001070.1
MSTRG.401	Solyc01g006690.4
MSTRG.402	Solyc01g006700.3
MSTRG.403	Solyc01g006710.4
MSTRG.404	Solyc01g006720.4
MSTRG.405	lnc_RNA:Solyc01r001080.1
MSTRG.406	Solyc01g006740.4
MSTRG.407	Solyc01g006780.4
MSTRG.408	Solyc01g006790.3
MSTRG.409	Solyc01g006800.4
MSTRG.410	Solyc01g006810.4
MSTRG.411	lnc_RNA:Solyc01r001090.1
MSTRG.412	Solyc01g006820.2
MSTRG.413	Solyc01g006830.3
MSTRG.415	Solyc01g006850.1
MSTRG.417	Solyc01g006870.4
MSTRG.418	Solyc01g006880.4
MSTRG.419	Solyc01g006890.3
MSTRG.420	Solyc01g006900.3
MSTRG.421	Solyc01g006910.4
MSTRG.422	Solyc01g006930.3
MSTRG.423	Solyc01g006940.4
MSTRG.424	Solyc01g006950.3
MSTRG.425	Solyc01g006960.3
MSTRG.426	Solyc01g006970.4
MSTRG.427	Solyc01g006980.4
MSTRG.428	Solyc01g006990.4
MSTRG.429	Solyc01g007000.4
MSTRG.430	lnc_RNA:Solyc01r001110.1
MSTRG.431	Solyc01g007010.2
MSTRG.432	Solyc01g007020.4
MSTRG.433	lnc_RNA:Solyc01r001120.1
MSTRG.434	Solyc01g007030.3
MSTRG.435	Solyc01g007040.4
MSTRG.436	Solyc01g007060.3
MSTRG.437	Solyc01g007070.3
MSTRG.438	lnc_RNA:Solyc01r001130.1
MSTRG.439	Solyc01g007090.1
MSTRG.440	Solyc01g007100.3
MSTRG.441	Solyc01g007110.3
MSTRG.442	Solyc01g007120.3
MSTRG.443	Solyc01g007130.3
MSTRG.444	Solyc01g007140.3
MSTRG.445	Solyc01g007150.3
MSTRG.446	lnc_RNA:Solyc01r001140.1
MSTRG.447	Solyc01g007160.4
MSTRG.448	Solyc01g007170.4
MSTRG.449	Solyc01g007180.3
MSTRG.452	lnc_RNA:Solyc01r001170.1
MSTRG.453	Solyc01g007190.3
MSTRG.454	Solyc01g007200.2
MSTRG.455	Solyc01g007220.4
MSTRG.457	Solyc01g007240.3
MSTRG.458	Solyc01g007260.3
MSTRG.459	Solyc01g007267.1
MSTRG.460	Solyc01g007740.4
MSTRG.462	lnc_RNA:Solyc01r001190.1
MSTRG.463	Solyc01g007770.2
MSTRG.464	Solyc01g007780.4
MSTRG.465	Solyc01g007790.4
MSTRG.466	Solyc01g007800.3
MSTRG.467	Solyc01g007810.1
MSTRG.470	Solyc01g007840.3
MSTRG.471	Solyc01g007850.2
MSTRG.472	Solyc01g007860.3
MSTRG.473	Solyc01g007870.3
MSTRG.474	Solyc01g007880.4
MSTRG.475	Solyc01g007890.3
MSTRG.477	Solyc01g150101.1
MSTRG.478	Solyc01g007900.4
MSTRG.479	Solyc01g007910.3
MSTRG.480	Solyc01g007920.2
MSTRG.481	Solyc01g007930.4
MSTRG.482	Solyc01g007950.4
MSTRG.483	Solyc01g007960.3
MSTRG.484	Solyc01g007970.2
MSTRG.485	lnc_RNA:Solyc01r001250.1
MSTRG.486	Solyc01g007980.4
MSTRG.487	Solyc01g007990.4
MSTRG.488	Solyc01g008000.3
MSTRG.489	Solyc01g150102.1
MSTRG.490	Solyc01g008010.3
MSTRG.491	Solyc01g008020.4
MSTRG.492	lnc_RNA:Solyc01r001260.1
MSTRG.493	Solyc01g008040.1
MSTRG.494	Solyc01g008050.4
MSTRG.495	Solyc01g008060.3
MSTRG.496	Solyc01g008070.3
MSTRG.498	Solyc01g008100.3
MSTRG.499	Solyc01g008110.4
MSTRG.500	Solyc01g008120.4
MSTRG.501	Solyc01g008130.4
MSTRG.502	Solyc01g008140.4
MSTRG.504	Solyc01g008170.3
MSTRG.505	Solyc01g008180.3
MSTRG.507	Solyc01g008220.3
MSTRG.508	Solyc01g008230.4
MSTRG.509	Solyc01g008250.3
MSTRG.510	Solyc01g008260.4
MSTRG.511	Solyc01g008270.3
MSTRG.512	Solyc01g008280.4
MSTRG.513	Solyc01g008290.3
MSTRG.514	Solyc01g008300.2
MSTRG.515	Solyc01g008310.4
MSTRG.516	Solyc01g008320.3
MSTRG.517	Solyc01g008330.4
MSTRG.518	Solyc01g008340.3
MSTRG.519	Solyc01g008360.3
MSTRG.520	Solyc01g008370.3
MSTRG.521	Solyc01g008440.3
MSTRG.523	Solyc01g008460.3
MSTRG.524	Solyc01g008470.3
MSTRG.525	Solyc01g008480.4
MSTRG.526	Solyc01g008490.4
MSTRG.527	Solyc01g008500.4
MSTRG.529	Solyc01g008520.3
MSTRG.530	Solyc01g008530.3
MSTRG.531	Solyc01g008540.4
MSTRG.532	Solyc01g008550.4
MSTRG.533	Solyc01g008560.3
MSTRG.534	Solyc01g008600.4
MSTRG.535	Solyc01g008620.4
MSTRG.536	Solyc01g008640.4
MSTRG.537	Solyc01g008650.3
MSTRG.538	Solyc01g008660.4
MSTRG.539	Solyc01g008670.4
MSTRG.541	Solyc01g008690.3
MSTRG.542	Solyc01g008730.3
MSTRG.543	lnc_RNA:Solyc01r001300.1
MSTRG.544	lnc_RNA:Solyc01r001310.1
MSTRG.545	Solyc01g008760.4
